,cell_type
58879,B cell
58880,CD14+/CD16+ Monocyte
58881,B cell
58882,CD14+/CD16+ Monocyte
58883,NK HSP+
58884,cDC2
58885,CD4+ Activated IEG
58886,cDC2
58887,CD14+/CD16+ Monocyte
58888,CD14+/CD16+ Monocyte
58889,CD45- Vascular Endothelium
58890,CD14+/CD16+ Monocyte
58891,cDC2
58892,CD45- Vascular Endothelium
58893,CD4+ Activated IEG
58894,CD4+ Activated IEG
58895,CD45- Vascular Endothelium
58896,cDC2
58897,CD14+/CD16+ Monocyte
58898,CD4+ Activated IEG
58899,CD4+ Activated IEG
58900,CD4+ Activated IEG
58901,CD14+/CD16+ Monocyte
58902,CD45- Vascular Endothelium
58903,CD45- ccRCC CA9+
58904,CD45- Vascular Endothelium
58905,CD14+/CD16+ Monocyte
58906,CD45- Vascular Endothelium
58907,CD45- Vascular Endothelium
58908,CD45- Vascular Endothelium
58909,NK HSP+
58910,CD14+/CD16+ Monocyte
58911,NK HSP+
58912,NK HSP+
58913,B cell
58914,CD14+/CD16+ Monocyte
58915,CD4+ Activated IEG
58916,cDC2
58917,CD45- Myofibroblast
58918,CD14+/CD16+ Monocyte
58919,CD45- PAX8+ renal epithelium
58920,CD45- Vascular Endothelium
58921,NK HSP+
58922,CD45- PAX8+ renal epithelium
58923,CD45- Vascular Endothelium
58924,CD4+ Activated IEG
58925,NK HSP+
58926,CD4+ Activated IEG
58927,CD45- Vascular Endothelium
58928,CD8A+ NK-like
58929,CD45- Vascular Endothelium
58930,CD4+ Effector
58931,CD14+/CD16+ Monocyte
58932,CD4+ Activated IEG
58933,CD45- PAX8+ renal epithelium
58934,CD4+ Activated IEG
58935,CD45- Vascular Endothelium
58936,CD4+ Activated IEG
58937,CD45- Vascular Endothelium
58938,CD8A+ Tissue-resident
58939,CD45- Vascular Endothelium
58940,CD45- Vascular Endothelium
58941,NK HSP+
58942,CD4+ Activated IEG
58943,CD14+/CD16+ Monocyte
58944,cDC1
58945,CD45- Vascular Endothelium
58946,CD45- Myofibroblast
58947,B cell
58948,CD45- Vascular Endothelium
58949,CD45- Vascular Endothelium
58950,CD4+ Activated IEG
58951,CD45- Vascular Endothelium
58952,CD45- Vascular Endothelium
58953,CD14+/CD16+ Monocyte
58954,NK HSP+
58955,NK HSP+
58956,CD45- Vascular Endothelium
58957,CD45- Vascular Endothelium
58958,CD45- Vascular Endothelium
58959,CD14+/CD16+ Monocyte
58960,CD14+/CD16+ Monocyte
58961,CD4+ Activated IEG
58962,cDC2
58963,NK HSP+
58964,CD4+ Activated IEG
58965,TAM/TCR (Ambiguos)
58966,B cell
58967,CD8A+ Tissue-resident
58968,B cell
58969,CD14+/CD16+ Monocyte
58970,CD45- PAX8+ renal epithelium
58971,CD45- Myofibroblast
58972,CD4+ Activated IEG
58973,NK HSP+
58974,CD45- Vascular Endothelium
58975,NK HSP+
58976,CD14+/CD16+ Monocyte
58977,CD45- Vascular Endothelium
58978,CD14+/CD16+ Monocyte
58979,TAM HLAint
58980,CD45- Vascular Endothelium
58981,CD14+/CD16+ Monocyte
58982,CD45- Vascular Endothelium
58983,CD8A+ Tissue-resident
58984,NK HSP+
58985,CD45- Vascular Endothelium
58986,CD14+/CD16+ Monocyte
58987,CD45- Vascular Endothelium
58988,CD45- Vascular Endothelium
58989,CD4+ Activated IEG
58990,CD14+/CD16+ Monocyte
58991,CD4+ Activated IEG
58992,CD14+/CD16+ Monocyte
58993,CD45- Vascular Endothelium
58994,CD4+ Activated IEG
58995,CD14+/CD16+ Monocyte
58996,CD14+/CD16+ Monocyte
58997,CD14+/CD16+ Monocyte
58998,CD14+/CD16+ Monocyte
58999,B cell
59000,NK HSP+
59001,CD14+/CD16+ Monocyte
59002,CD14+/CD16+ Monocyte
59003,CD14+/CD16+ Monocyte
59004,CD14+/CD16+ Monocyte
59005,CD45- Vascular Endothelium
59006,CD4+ Activated IEG
59007,CD45- Vascular Endothelium
59008,TAM ISGhi
59009,CD45- Vascular Endothelium
59010,CD45- Vascular Endothelium
59011,CD45- Vascular Endothelium
59012,CD14+/CD16+ Monocyte
59013,CD45- ccRCC CA9+
59014,CD4+ Activated IEG
59015,CD45- Vascular Endothelium
59016,CD45- PAX8+ renal epithelium
59017,NK HSP+
59018,CD45- Vascular Endothelium
59019,CD14+/CD16+ Monocyte
59020,CD14+/CD16+ Monocyte
59021,cDC2
59022,TAM/TCR (Ambiguos)
59023,CD45- PAX8+ renal epithelium
59024,CD4+ Activated IEG
59025,CD45- Vascular Endothelium
59026,TAM HLAint
59027,CD45- Myofibroblast
59028,CD4+ Activated IEG
59029,NK HSP+
59030,CD45- PAX8+ renal epithelium
59031,CD8A+ Tissue-resident
59032,CD45- Vascular Endothelium
59033,CD14+/CD16+ Monocyte
59034,CD4+ Activated IEG
59035,CD4+ Activated IEG
59036,NK HSP+
59037,CD45- PAX8+ renal epithelium
59038,CD14+/CD16+ Monocyte
59039,TAM/TCR (Ambiguos)
59040,CD45- Vascular Endothelium
59041,CD14+/CD16+ Monocyte
59042,B cell
59043,CD14+/CD16+ Monocyte
59044,CD14+/CD16+ Monocyte
59045,CD14+ Monocyte
59046,B cell
59047,CD4+ Activated IEG
59048,CD4+ Activated IEG
59049,CD4+ Activated IEG
59050,NK HSP+
59051,CD14+/CD16+ Monocyte
59052,B cell
59053,NK HSP+
59054,CD45- Myofibroblast
59055,NK HSP+
59056,CD4+ Activated IEG
59057,NK HSP+
59058,CD45- Vascular Endothelium
59059,NK HSP+
59060,CD8A+ Exhausted IEG
59061,CD14+/CD16+ Monocyte
59062,CD45- PAX8+ renal epithelium
59063,CD14+/CD16+ Monocyte
59064,CD45- Vascular Endothelium
59065,CD4+ Activated IEG
59066,CD4+ Activated IEG
59067,B cell
59068,CD4+ Proliferating
59069,CD45- Vascular Endothelium
59070,NK HSP+
59071,CD14+/CD16+ Monocyte
59072,CD4+ Effector
59073,NK HSP+
59074,CD45- Vascular Endothelium
59075,CD14+/CD16+ Monocyte
59076,CD45- Vascular Endothelium
59077,CD45- PAX8+ renal epithelium
59078,CD45- Vascular Endothelium
59079,CD4+ Activated IEG
59080,CD4+ Activated IEG
59081,CD45- PAX8+ renal epithelium
59082,CD4+ Activated IEG
59083,TAM HLAint
59084,CD8A+ Tissue-resident
59085,CD45- Vascular Endothelium
59086,CD45- Vascular Endothelium
59087,CD45- PAX8+ renal epithelium
59088,CD45- Vascular Endothelium
59089,CD45- Vascular Endothelium
59090,CD4+ Activated IEG
59091,CD45- Vascular Endothelium
59092,B cell
59093,CD8A+ NK-like
59094,B cell
59095,CD14+/CD16+ Monocyte
59096,CD4+ Activated IEG
59097,CD14+/CD16+ Monocyte
59098,CD45- Vascular Endothelium
59099,CD45- Vascular Endothelium
59100,CD8A+ Proliferating
59101,CD8A+ NK-like
59102,CD4+ Activated IEG
59103,CD14+/CD16+ Monocyte
59104,CD45- Vascular Endothelium
59105,CD14+/CD16+ Monocyte
59106,CD4+ Activated IEG
59107,CD4+ Activated IEG
59108,CD45- Vascular Endothelium
59109,NK HSP+
59110,TAM/TCR (Ambiguos)
59111,CD14+/CD16+ Monocyte
59112,CD14+/CD16+ Monocyte
59113,CD4+ Activated IEG
59114,NK HSP+
59115,CD4+ Activated IEG
59116,CD45- Vascular Endothelium
59117,CD8A+ Tissue-resident
59118,CD45- Vascular Endothelium
59119,CD14+/CD16+ Monocyte
59120,CD14+/CD16+ Monocyte
59121,CD45- PAX8+ renal epithelium
59122,CD14+ Monocyte
59123,CD4+ Activated IEG
59124,CD45- Vascular Endothelium
59125,CD14+/CD16+ Monocyte
59126,CD45- Vascular Endothelium
59127,CD45- PAX8+ renal epithelium
59128,CD14+/CD16+ Monocyte
59129,CD45- Myofibroblast
59130,CD45- PAX8+ renal epithelium
59131,CD14+/CD16+ Monocyte
59132,NK HSP+
59133,NK HSP+
59134,CD4+ Activated IEG
59135,cDC1
59136,CD45- Vascular Endothelium
59137,cDC2
59138,CD14+/CD16+ Monocyte
59139,B cell
59140,CD4+ Activated IEG
59141,NK HSP+
59142,CD45- Vascular Endothelium
59143,CD45- PAX8+ renal epithelium
59144,CD45- Vascular Endothelium
59145,CD45- Vascular Endothelium
59146,CD4+ Activated IEG
59147,CD8A+ Tissue-resident
59148,TAM/TCR (Ambiguos)
59149,CD45- Vascular Endothelium
59150,CD45- Vascular Endothelium
59151,CD45- Vascular Endothelium
59152,CD45- Vascular Endothelium
59153,CD14+/CD16+ Monocyte
59154,CD14+/CD16+ Monocyte
59155,CD8A+ NK-like
59156,CD45- Vascular Endothelium
59157,CD4+ Activated IEG
59158,CD45- PAX8+ renal epithelium
59159,CD45- Vascular Endothelium
59160,TAM HLAint
59161,NK HSP+
59162,CD4+ Activated IEG
59163,CD8A+ Tissue-resident
59164,CD45- Vascular Endothelium
59165,CD14+/CD16+ Monocyte
59166,CD4+ Activated IEG
59167,CD45- ccRCC CA9+
59168,CD45- Vascular Endothelium
59169,CD4+ Treg
59170,TAM ISGint
59171,CD8A+ Tissue-resident
59172,TAM HLAhi
59173,CD14+/CD16+ Monocyte
59174,CD4+ Activated IEG
59175,CD4+ Activated IEG
59176,TAM/TCR (Ambiguos)
59177,B cell
59178,CD45- PAX8+ renal epithelium
59179,CD45- PAX8+ renal epithelium
59180,TAM HLAint
59181,NK HSP+
59182,CD45- PAX8+ renal epithelium
59183,B cell
59184,CD4+ Effector
59185,CD45- Vascular Endothelium
59186,CD45- PAX8+ renal epithelium
59187,NK HSP+
59188,CD45- PAX8+ renal epithelium
59189,CD14+/CD16+ Monocyte
59190,CD4+ Activated IEG
59191,CD4+ Activated IEG
59192,CD45- Vascular Endothelium
59193,CD45- Vascular Endothelium
59194,CD45- Vascular Endothelium
59195,B cell
59196,CD14+/CD16+ Monocyte
59197,CD4+ Activated IEG
59198,NK HSP+
59199,CD45- PAX8+ renal epithelium
59200,CD45- Vascular Endothelium
59201,CD14+/CD16+ Monocyte
59202,CD45- PAX8+ renal epithelium
59203,CD8A+ Tissue-resident
59204,CD4+ Activated IEG
59205,CD45- Vascular Endothelium
59206,NK HSP+
59207,CD14+/CD16+ Monocyte
59208,CD4+ Activated IEG
59209,CD8A+ Proliferating
59210,CD4+ Activated IEG
59211,NK HSP+
59212,TAM HLAint
59213,CD45- Vascular Endothelium
59214,B cell
59215,CD8A+ Tissue-resident
59216,CD45- Vascular Endothelium
59217,TAM HLAint
59218,CD45- Vascular Endothelium
59219,CD4+ Activated IEG
59220,CD4+ Activated IEG
59221,CD45- PAX8+ renal epithelium
59222,CD8A+ Tissue-resident
59223,CD14+/CD16+ Monocyte
59224,NK HSP+
59225,CD45- Vascular Endothelium
59226,CD45- Vascular Endothelium
59227,CD45- Vascular Endothelium
59228,CD45- Vascular Endothelium
59229,CD45- PAX8+ renal epithelium
59230,NK HSP+
59231,CD4+ Activated IEG
59232,CD4+ Activated IEG
59233,NK HSP+
59234,NK HSP+
59235,CD14+/CD16+ Monocyte
59236,CD14+/CD16+ Monocyte
59237,CD45- Vascular Endothelium
59238,TAM HLAint
59239,CD14+/CD16+ Monocyte
59240,CD45- Vascular Endothelium
59241,CD4+ Activated IEG
59242,CD4+ Activated IEG
59243,CD45- PAX8+ renal epithelium
59244,CD45- Vascular Endothelium
59245,CD4+ Effector
59246,CD45- PAX8+ renal epithelium
59247,CD45- PAX8+ renal epithelium
59248,CD4+ Activated IEG
59249,CD14+/CD16+ Monocyte
59250,CD45- Vascular Endothelium
59251,CD4+ Treg
59252,NK HSP+
59253,B cell
59254,TAM/TCR (Ambiguos)
59255,CD45- Vascular Endothelium
59256,CD45- Vascular Endothelium
59257,TAM HLAint
59258,CD8A+ Tissue-resident
59259,CD4+ Activated IEG
59260,CD14+/CD16+ Monocyte
59261,TAM HLAint
59262,TAM/TCR (Ambiguos)
59263,CD45- Vascular Endothelium
59264,CD4+ Activated IEG
59265,CD4+ Activated IEG
59266,CD14+/CD16+ Monocyte
59267,CD4+ Activated IEG
59268,NK HSP+
59269,CD14+/CD16+ Monocyte
59270,CD14+/CD16+ Monocyte
59271,CD45- Vascular Endothelium
59272,CD14+/CD16+ Monocyte
59273,CD4+ Activated IEG
59274,TAM HLAint
59275,CD45- PAX8+ renal epithelium
59276,NK HSP+
59277,CD8A+ Tissue-resident
59278,CD14+/CD16+ Monocyte
59279,CD8A+ NK-like
59280,CD4+ Activated IEG
59281,cDC2
59282,NK HSP+
59283,CD8A+ Tissue-resident
59284,CD4+ Activated IEG
59285,CD14+/CD16+ Monocyte
59286,CD14+/CD16+ Monocyte
59287,CD4+ Activated IEG
59288,TAM HLAhi
59289,CD45- Myofibroblast
59290,CD14+/CD16+ Monocyte
59291,CD45- Vascular Endothelium
59292,TAM HLAint
59293,CD45- Vascular Endothelium
59294,CD14+/CD16+ Monocyte
59295,CD45- Vascular Endothelium
59296,CD14+/CD16+ Monocyte
59297,NK HSP+
59298,NK HSP+
59299,TAM HLAint
59300,CD14+/CD16+ Monocyte
59301,CD4+ Activated IEG
59302,CD45- Vascular Endothelium
59303,CD4+ Activated IEG
59304,NK HSP+
59305,TAM HLAint
59306,CD14+/CD16+ Monocyte
59307,CD14+/CD16+ Monocyte
59308,CD14+/CD16+ Monocyte
59309,CD8A+ Tissue-resident
59310,NK HSP+
59311,CD4+ Treg
59312,CD4+ Activated IEG
59313,NK HSP+
59314,CD8A+ Tissue-resident
59315,CD8A+ Proliferating
59316,B cell
59317,CD45- Vascular Endothelium
59318,CD45- Vascular Endothelium
59319,CD14+/CD16+ Monocyte
59320,cDC2
59321,CD4+ Activated IEG
59322,NK HSP+
59323,CD45- Vascular Endothelium
59324,CD45- Vascular Endothelium
59325,CD14+/CD16+ Monocyte
59326,cDC2
59327,CD4+ Activated IEG
59328,CD14+/CD16+ Monocyte
59329,B cell
59330,CD4+ Activated IEG
59331,CD14+/CD16+ Monocyte
59332,CD4+ Activated IEG
59333,CD45- Vascular Endothelium
59334,CD45- Vascular Endothelium
59335,CD4+ Effector
59336,CD4+ Activated IEG
59337,CD8A+ Tissue-resident
59338,NK HSP+
59339,CD14+/CD16+ Monocyte
59340,B cell
59341,CD45- PAX8+ renal epithelium
59342,NK HSP+
59343,CD4+ Activated IEG
59344,CD4+ Activated IEG
59345,TAM HLAint
59346,CD45- Vascular Endothelium
59347,CD45- PAX8+ renal epithelium
59348,TAM HLAint
59349,CD45- PAX8+ renal epithelium
59350,CD45- PAX8+ renal epithelium
59351,CD4+ Activated IEG
59352,cDC2
59353,CD8A+ Tissue-resident
59354,NK HSP+
59355,CD45- Vascular Endothelium
59356,CD45- Vascular Endothelium
59357,cDC2
59358,B cell
59359,NK HSP+
59360,NK HSP+
59361,cDC2
59362,CD45- PAX8+ renal epithelium
59363,CD14+/CD16+ Monocyte
59364,B cell
59365,CD14+/CD16+ Monocyte
59366,CD14+/CD16+ Monocyte
59367,CD45- Vascular Endothelium
59368,cDC2
59369,CD45- Vascular Endothelium
59370,CD45- PAX8+ renal epithelium
59371,CD45- PAX8+ renal epithelium
59372,CD4+ Activated IEG
59373,NK HSP+
59374,CD14+/CD16+ Monocyte
59375,TAM HLAint
59376,CD4+ Activated IEG
59377,CD4+ Activated IEG
59378,CD45- Vascular Endothelium
59379,CD14+/CD16+ Monocyte
59380,CD14+/CD16+ Monocyte
59381,CD14+/CD16+ Monocyte
59382,CD45- Vascular Endothelium
59383,CD45- Vascular Endothelium
59384,CD14+/CD16+ Monocyte
59385,CD45- ccRCC CA9+
59386,CD45- Vascular Endothelium
59387,CD4+ Effector
59388,CD14+/CD16+ Monocyte
59389,CD14+/CD16+ Monocyte
59390,CD45- Vascular Endothelium
59391,CD4+ Activated IEG
59392,CD8A+ Tissue-resident
59393,B cell
59394,CD4+ Activated IEG
59395,CD8A+ Tissue-resident
59396,CD45- Vascular Endothelium
59397,CD45- Vascular Endothelium
59398,CD45- Vascular Endothelium
59399,CD4+ Proliferating
59400,CD4+ Activated IEG
59401,CD4+ Activated IEG
59402,CD4+ Activated IEG
59403,CD45- PAX8+ renal epithelium
59404,NK HSP+
59405,CD45- Vascular Endothelium
59406,CD14+/CD16+ Monocyte
59407,CD4+ Activated IEG
59408,CD45- Vascular Endothelium
59409,CD45- Vascular Endothelium
59410,CD45- Vascular Endothelium
59411,CD45- Vascular Endothelium
59412,CD45- Vascular Endothelium
59413,B cell
59414,cDC2
59415,CD14+/CD16+ Monocyte
59416,B cell
59417,CD4+ Activated IEG
59418,NK HSP+
59419,CD14+/CD16+ Monocyte
59420,CD4+ Activated IEG
59421,CD45- Vascular Endothelium
59422,cDC2
59423,CD45- Vascular Endothelium
59424,CD14+ Monocyte
59425,CD4+ Naive
59426,CD4+ Naive
59427,CD14+ Monocyte
59428,CD8A+ NK-like
59429,CD14+ Monocyte
59430,CD4+ Naive
59431,CD4+ Naive
59432,Conventional NK
59433,CD4+ Naive
59434,Conventional NK
59435,Conventional NK
59436,CD4+ Naive
59437,CD4+ Naive
59438,B cell
59439,CD8A+ NK-like
59440,CD8A+ NK-like
59441,CD14+ Monocyte
59442,CD4+ Naive
59443,CD4+ Naive
59444,B cell
59445,Conventional NK
59446,B cell
59447,CD4+ Naive
59448,CD4+ Naive
59449,CD4+ Naive
59450,CD8A+ NK-like
59451,CD4+ Naive
59452,CD4+ Naive
59453,Conventional NK
59454,CD4+ Naive
59455,Conventional NK
59456,Conventional NK
59457,CD4+ Naive
59458,CD4+ Naive
59459,CD4+ Naive
59460,CD8A+ NK-like
59461,CD14+/CD16+ Monocyte
59462,CD4+ Naive
59463,CD4+ Naive
59464,CD4+ Naive
59465,CD4+ Naive
59466,CD4+ Naive
59467,Conventional NK
59468,CD8A+ NK-like
59469,CD14+ Monocyte
59470,CD14+ Monocyte
59471,CD4+ Naive
59472,CD4+ Naive
59473,CD4+ Naive
59474,Conventional NK
59475,CD4+ Naive
59476,Conventional NK
59477,CD4+ Naive
59478,cDC2
59479,CD4+ Naive
59480,CD4+ Naive
59481,CD14+/CD16+ Monocyte
59482,CD14+/CD16+ Monocyte
59483,B cell
59484,Conventional NK
59485,Conventional NK
59486,CD4+ Naive
59487,CD4+ Naive
59488,CD4+ Naive
59489,CD8A+ NK-like
59490,CD4+ Naive
59491,Conventional NK
59492,Conventional NK
59493,CD14+ Monocyte
59494,CD8A+ NK-like
59495,CD4+ Naive
59496,CD4+ Naive
59497,CD4+ Naive
59498,CD4+ Effector
59499,Conventional NK
59500,Conventional NK
59501,CD4+ Naive
59502,Conventional NK
59503,CD14+ Monocyte
59504,B cell
59505,CD4+ Naive
59506,CD4+ Naive
59507,CD14+/CD16+ Monocyte
59508,CD4+ Naive
59509,CD14+/CD16+ Monocyte
59510,Conventional NK
59511,CD4+ Naive
59512,CD4+ Naive
59513,CD4+ Naive
59514,CD4+ Naive
59515,CD14+/CD16+ Monocyte
59516,CD4+ Naive
59517,CD14+/CD16+ Monocyte
59518,CD14+/CD16+ Monocyte
59519,CD4+ Naive
59520,CD8A+ NK-like
59521,Conventional NK
59522,CD14+/CD16+ Monocyte
59523,CD4+ Naive
59524,B cell
59525,CD4+ Naive
59526,CD4+ Naive
59527,B cell
59528,CD8A+ NK-like
59529,CD4+ Naive
59530,CD4+ Naive
59531,CD4+ Naive
59532,CD14+ Monocyte
59533,CD4+ Naive
59534,CD4+ Naive
59535,CD14+/CD16+ Monocyte
59536,Conventional NK
59537,CD4+ Naive
59538,CD4+ Naive
59539,CD14+ Monocyte
59540,CD14+ Monocyte
59541,CD14+/CD16+ Monocyte
59542,CD14+ Monocyte
59543,CD14+ Monocyte
59544,CD4+ Naive
59545,CD4+ Naive
59546,CD8A+ NK-like
59547,CD14+/CD16+ Monocyte
59548,CD4+ Naive
59549,CD4+ Naive
59550,CD14+ Monocyte
59551,Conventional NK
59552,CD4+ Naive
59553,CD4+ Naive
59554,B cell
59555,CD8A+ NK-like
59556,CD14+/CD16+ Monocyte
59557,CD4+ Naive
59558,CD8A+ NK-like
59559,CD14+/CD16+ Monocyte
59560,Conventional NK
59561,CD8A+ NK-like
59562,CD14+ Monocyte
59563,CD8A+ NK-like
59564,CD4+ Naive
59565,CD4+ Naive
59566,Conventional NK
59567,CD4+ Naive
59568,CD4+ Naive
59569,CD4+ Naive
59570,CD4+ Naive
59571,CD4+ Naive
59572,Conventional NK
59573,Conventional NK
59574,CD14+ Monocyte
59575,CD14+/CD16+ Monocyte
59576,B cell
59577,CD4+ Naive
59578,CD8A+ NK-like
59579,CD8A+ NK-like
59580,CD4+ Naive
59581,Conventional NK
59582,B cell
59583,Conventional NK
59584,Conventional NK
59585,CD4+ Naive
59586,CD8A+ NK-like
59587,CD4+ Naive
59588,CD4+ Naive
59589,CD4+ Naive
59590,CD4+ Naive
59591,CD8A+ NK-like
59592,CD4+ Naive
59593,CD4+ Naive
59594,CD4+ Naive
59595,CD4+ Naive
59596,NK HSP+
59597,CD14+ Monocyte
59598,CD14+/CD16+ Monocyte
59599,CD14+/CD16+ Monocyte
59600,Conventional NK
59601,Conventional NK
59602,CD4+ Naive
59603,Conventional NK
59604,CD4+ Naive
59605,CD4+ Naive
59606,CD14+ Monocyte
59607,CD14+/CD16+ Monocyte
59608,CD4+ Naive
59609,B cell
59610,CD4+ Effector
59611,CD14+ Monocyte
59612,CD4+ Naive
59613,Conventional NK
59614,CD8A+ NK-like
59615,CD4+ Naive
59616,Conventional NK
59617,CD4+ Naive
59618,Conventional NK
59619,CD14+ Monocyte
59620,Conventional NK
59621,Conventional NK
59622,Conventional NK
59623,CD4+ Naive
59624,CD4+ Naive
59625,CD4+ Naive
59626,CD4+ Effector
59627,cDC2
59628,CD8A+ NK-like
59629,CD4+ Naive
59630,CD8A+ NK-like
59631,Conventional NK
59632,CD4+ Naive
59633,CD4+ Naive
59634,Conventional NK
59635,CD4+ Naive
59636,CD14+ Monocyte
59637,CD8A+ NK-like
59638,CD14+ Monocyte
59639,CD4+ Naive
59640,CD14+ Monocyte
59641,CD14+ Monocyte
59642,Conventional NK
59643,CD4+ Naive
59644,CD14+ Monocyte
59645,CD4+ Naive
59646,Conventional NK
59647,B cell
59648,Conventional NK
59649,CD14+ Monocyte
59650,CD4+ Naive
59651,CD4+ Naive
59652,CD14+ Monocyte
59653,CD4+ Naive
59654,Conventional NK
59655,CD4+ Naive
59656,CD4+ Naive
59657,CD4+ Naive
59658,CD8A+ NK-like
59659,CD4+ Naive
59660,CD4+ Effector
59661,CD14+ Monocyte
59662,Conventional NK
59663,Conventional NK
59664,CD4+ Naive
59665,CD4+ Naive
59666,CD4+ Naive
59667,CD14+ Monocyte
59668,CD4+ Naive
59669,CD4+ Naive
59670,CD4+ Effector
59671,CD14+/CD16+ Monocyte
59672,CD8A+ NK-like
59673,CD4+ Naive
59674,B cell
59675,CD4+ Naive
59676,CD4+ Naive
59677,CD4+ Naive
59678,CD8A+ NK-like
59679,CD14+ Monocyte
59680,CD4+ Naive
59681,CD4+ Effector
59682,CD14+/CD16+ Monocyte
59683,CD4+ Naive
59684,CD4+ Naive
59685,Conventional NK
59686,Conventional NK
59687,CD14+ Monocyte
59688,CD4+ Naive
59689,CD4+ Naive
59690,cDC2
59691,CD4+ Naive
59692,CD4+ Naive
59693,CD14+ Monocyte
59694,CD4+ Naive
59695,B cell
59696,CD4+ Naive
59697,Conventional NK
59698,CD4+ Naive
59699,CD4+ Naive
59700,Conventional NK
59701,CD4+ Naive
59702,CD14+ Monocyte
59703,CD14+ Monocyte
59704,CD4+ Naive
59705,CD4+ Naive
59706,CD14+/CD16+ Monocyte
59707,CD4+ Naive
59708,CD4+ Naive
59709,CD8A+ NK-like
59710,Conventional NK
59711,CD14+/CD16+ Monocyte
59712,CD4+ Naive
59713,CD4+ Naive
59714,CD4+ Naive
59715,CD4+ Naive
59716,CD4+ Naive
59717,B cell
59718,B cell
59719,CD14+/CD16+ Monocyte
59720,CD4+ Naive
59721,Conventional NK
59722,CD14+/CD16+ Monocyte
59723,CD4+ Proliferating
59724,CD4+ Naive
59725,Conventional NK
59726,CD14+ Monocyte
59727,CD4+ Naive
59728,Conventional NK
59729,CD14+ Monocyte
59730,CD4+ Naive
59731,Conventional NK
59732,CD4+ Naive
59733,CD14+ Monocyte
59734,CD4+ Naive
59735,Conventional NK
59736,CD4+ Naive
59737,CD4+ Effector
59738,CD4+ Naive
59739,CD14+/CD16+ Monocyte
59740,CD14+ Monocyte
59741,CD4+ Naive
59742,CD4+ Treg
59743,CD14+ Monocyte
59744,CD4+ Naive
59745,B cell
59746,CD4+ Naive
59747,B cell
59748,CD4+ Naive
59749,CD4+ Effector
59750,B cell
59751,CD14+ Monocyte
59752,CD14+ Monocyte
59753,CD4+ Naive
59754,CD4+ Naive
59755,CD8A+ NK-like
59756,Conventional NK
59757,CD14+ Monocyte
59758,Conventional NK
59759,CD4+ Naive
59760,CD4+ Naive
59761,CD4+ Naive
59762,CD4+ Naive
59763,CD14+/CD16+ Monocyte
59764,CD4+ Naive
59765,CD14+/CD16+ Monocyte
59766,CD4+ Naive
59767,CD14+ Monocyte
59768,Conventional NK
59769,CD8A+ NK-like
59770,CD4+ Naive
59771,Conventional NK
59772,CD14+/CD16+ Monocyte
59773,CD4+ Naive
59774,CD4+ Naive
59775,CD4+ Naive
59776,CD4+ Naive
59777,Conventional NK
59778,CD14+/CD16+ Monocyte
59779,CD4+ Naive
59780,CD14+/CD16+ Monocyte
59781,CD4+ Naive
59782,CD14+ Monocyte
59783,CD14+ Monocyte
59784,B cell
59785,CD4+ Naive
59786,Conventional NK
59787,CD8A+ NK-like
59788,CD4+ Naive
59789,CD4+ Naive
59790,CD4+ Naive
59791,CD4+ Naive
59792,CD4+ Naive
59793,CD14+ Monocyte
59794,CD14+/CD16+ Monocyte
59795,Conventional NK
59796,CD8A+ NK-like
59797,Conventional NK
59798,B cell
59799,CD4+ Naive
59800,CD14+/CD16+ Monocyte
59801,Conventional NK
59802,CD4+ Naive
59803,Conventional NK
59804,CD14+ Monocyte
59805,CD14+/CD16+ Monocyte
59806,Conventional NK
59807,CD14+ Monocyte
59808,CD4+ Effector
59809,CD14+ Monocyte
59810,CD4+ Naive
59811,CD4+ Naive
59812,CD8A+ NK-like
59813,CD4+ Naive
59814,CD4+ Naive
59815,CD8A+ NK-like
59816,CD4+ Naive
59817,CD4+ Activated IEG
59818,CD14+ Monocyte
59819,CD14+ Monocyte
59820,CD8A+ NK-like
59821,CD4+ Naive
59822,CD14+/CD16+ Monocyte
59823,CD4+ Naive
59824,CD8A+ NK-like
59825,CD4+ Naive
59826,CD14+ Monocyte
59827,B cell
59828,CD4+ Effector
59829,CD4+ Naive
59830,CD14+ Monocyte
59831,CD4+ Naive
59832,CD4+ Naive
59833,CD4+ Naive
59834,Conventional NK
59835,Conventional NK
59836,CD14+/CD16+ Monocyte
59837,CD4+ Naive
59838,CD4+ Naive
59839,CD4+ Naive
59840,B cell
59841,CD14+ Monocyte
59842,B cell
59843,CD4+ Naive
59844,CD4+ Naive
59845,CD14+ Monocyte
59846,CD8A+ NK-like
59847,CD4+ Naive
59848,CD8A+ NK-like
59849,CD14+/CD16+ Monocyte
59850,CD4+ Naive
59851,CD4+ Naive
59852,CD4+ Naive
59853,Conventional NK
59854,CD4+ Naive
59855,CD14+ Monocyte
59856,CD4+ Naive
59857,CD4+ Naive
59858,CD4+ Naive
59859,CD4+ Naive
59860,Conventional NK
59861,CD4+ Naive
59862,CD4+ Naive
59863,CD4+ Naive
59864,CD4+ Naive
59865,CD4+ Naive
59866,CD4+ Naive
59867,Conventional NK
59868,CD4+ Naive
59869,B cell
59870,CD14+ Monocyte
59871,CD4+ Naive
59872,CD4+ Naive
59873,Conventional NK
59874,CD4+ Naive
59875,cDC2
59876,CD4+ Naive
59877,CD4+ Naive
59878,Conventional NK
59879,CD14+/CD16+ Monocyte
